num_threads,pi_value,abs_error
1,3.141592653589994,2.007283228522283e-13
2,3.1415926535899286,1.354472090042691e-13
4,3.141592653589993,1.9984014443252818e-13
8,3.141592653590026,2.327027459614328e-13
